location,store,item,price,category
svecw,tealeaf,kulad chai,20,tea
svecw,tealeaf,coffee,15,tea
svecw,tealeaf,green tea,15,tea
svecw,tealeaf,hot chocolate,20,tea
svecw,tealeaf,samosa,5,veg
svecw,tealeaf,egg puff,20,veg
svecw,tealeaf,veg puff,15,veg
svecw,tealeaf,fruit biscuits,8,tea
svecw,tealeaf,osmania biscuits,5,tea
svecw,tealeaf,vanila shake,60,shakes
svecw,tealeaf,chocolate shake,60,shakes
svecw,tealeaf,strawberry shake,60,shakes
svecw,tealeaf,oreo shake,60,shakes
svecw,tealeaf,kitkat shake,60,shakes
svecw,tealeaf,butterscotch shake,60,shakes
svecw,tealeaf,mango milk shake,60,shakes
svecw,tealeaf,caramel shake,60,shakes
svecw,tealeaf,rose milk,50,shakes
svecw,tealeaf,lime mint cooler,50,shakes
svecw,tealeaf,fizi mojito,55,shakes
svecw,tealeaf,cold coffee,60,shakes
svecw,tealeaf,rose milk,50,shakes
svecw,tealeaf,ginger lemon ice tea,50,shakes
svecw,tealeaf,lassi,40,shakes
svecw,tealeaf,matka lassi,50,shakes
svecw,tealeaf,mango lassi,50,shakes
svecw,tandoori,chicken shawarma,100,non veg
svecw,tandoori,chicken curry,120,non veg
svecw,tandoori,paneer curry,60,veg
svecw,tandoori,butter naan,45,veg
svecw,amul ice creams,bar,15,icecreams
svecw,amul ice creams,bar,35,icecreams
svecw,amul ice creams,cups,35,icecreams
svecw,amul ice creams,cups,45,icecreams
svecw,amul ice creams,cones,35,icecreams
svecw,amul ice creams,cones,45,icecreams
svecw,amul ice creams,cones,55,icecreams
svecw,amul ice creams,tru juice,10,icecreams
svecw,amul ice creams,butter milk,10,icecreams
svecw,temple square,egg puff,25,veg
svecw,temple square,veg puff,20,veg
svecw,temple square,chicken puff,35,non veg
svecw,temple square,chicken samosa,25,non veg
svecw,temple square,chicken roll,50,non veg
svecw,temple square,paneer roll,45,veg
svecw,temple square,red velvet cup cake,35,cake
svecw,temple square,chocolate cupcake,35,cake
svecw,temple square,black forest pastry,60,cake
svecw,temple square,red velvet pastry,70,cake
svecw,temple square,butter scotch pastry,60,cake
svecw,temple square,chocolate caramel pastry,60,cake
svecw,temple square,oreo pastry,60,cake
svecw,temple square,lava cake,55,cake
svecw,temple square,walnet brownie,45,cake
svecw,temple square,chocolate pudding,50,cake
svecw,temple square,sweet corn roll,35,veg
svecw,temple square,chicken kabab,60,non veg
svecw,temple square,veg sandwich,80,veg
svecw,temple square,junnu,35,veg
svecw,temple square,coke,20,drinks
svecw,temple square,fanta,20,veg
svecw,temple square,thumbsup,20,veg
svecw,temple square,artos sweet,15,veg
svecw,temple square,artos salt,15,veg
svecw,temple square,limca,20,veg
svecw,temple square,minute maid,20,veg
svecw,temple square,chicken pizza,60,non veg
svecw,temple square,aloo grilled sandwich,45,veg
svecw,temple square,pizza sandwich,45,veg
svecw,temple square,cheese garlic sandwich,45,veg
svecw,temple square,paneer sandwich,50,veg
svecw,temple square,bbq chicken sandwich,70,non veg
svecw,temple square,chicken periperi sandwich,70,non veg
svecw,temple square,zinger chicken sandwich,70,non veg
svecw,temple square,tandoori chicken sandwich,70,non veg
svecw,temple square,veg burger,60,veg
svecw,temple square,chicken burger,80,non veg
svecw,temple square,strawberry shake,50,shakes
svecw,temple square,butterscotch shake,50,shakes
svecw,temple square,vanila oreo,60,shakes
svecw,temple square,chocolate milkshake,60,shakes
svecw,panipuri stall,panipuri,20,veg
svecw,panipuri stall,dahi puri,30,veg
svecw,panipuri stall,masala puri,30,veg
svecw,panipuri stall,chat,30,veg
svecw,panipuri stall,mixture,35,veg
svecw,panipuri stall,mirapakay bajji,30,veg
svecw,panipuri stall,artikay bajji,30,veg
svecw,panipuri stall,bajji mixture,35,veg
svecw,juice centre,bananna,40,juice
svecw,juice centre,kharbuja,30,juice
svecw,juice centre,apple,45,juice
svecw,juice centre,promogranate,45,juice
svecw,juice centre,carrot,30,juice
svecw,juice centre,orange,30,juice
svecw,juice centre,pineapple,30,juice
svecw,juice centre,grape,30,juice
svecw,juice centre,pappaya,30,juice
svecw,juice centre,watermelon,30,juice
svecw,juice centre,sappota,30,juice
svecw,juice centre,fruit salad,40,juice
svecw,softy icecream,vanila softy,30,icecreams
svecw,softy icecream,chocolate softy,30,icecreams
svecw,softy icecream,mixed softy,30,icecreams
svecw,softy icecream,vanila scoop,30,icecreams
svecw,softy icecream,chocolate scoop,30,icecreams
svecw,softy icecream,butterscotch scoop,30,icecreams
svecw,softy icecream,pista scoop,30,icecreams
svecw,softy icecream,strawberry scoop,30,icecreams
svecw,softy icecream,americandry scoop,30,icecreams
svecw,softy icecream,froot single,30,icecreams
svecw,softy icecream,cashew grape single scoop,30,icecreams
svecw,softy icecream,blackcurrent ,30,icecreams
svecw,softy icecream,roll icecreams,30,icecreams
svecw,franky stall,chicken frankie,75,non veg
svecw,franky stall,paneer frankie,60,veg
svecw,milk parlour,chittidli,20,veg
svecw,milk parlour,cool drinks,20,drinks
svecw,milk parlour,sweets,30,veg
svecw,milk parlour,butter milk,10,drinks
dental,maggie point,maggie,50,veg
dental,juice centre,bananna,40,juice
dental,juice centre,kharbuja,30,juice
dental,juice centre,apple,45,juice
dental,juice centre,promogranate,45,juice
dental,juice centre,carrot,30,juice
dental,juice centre,orange,30,juice
dental,juice centre,pineapple,30,juice
dental,juice centre,grape,30,juice
dental,juice centre,pappaya,30,juice
dental,juice centre,watermelon,30,juice
dental,juice centre,sappota,30,juice
dental,juice centre,fruit salad,40,juice
degree,amul ice creams,bar,15,icecreams
degree,amul ice creams,bar,35,icecreams
degree,amul ice creams,cups,35,icecreams
degree,amul ice creams,cups,45,icecreams
degree,amul ice creams,cones,35,icecreams
degree,amul ice creams,cones,45,icecreams
degree,amul ice creams,cones,55,icecreams
degree,amul ice creams,tru juice,10,juice
degree,amul ice creams,butter milk,10,juice
degree,temple square,egg puff,25,veg
degree,temple square,veg puff,20,veg
degree,temple square,chicken puff,35,non veg
degree,temple square,chicken samosa,25,non veg
degree,temple square,chicken roll,50,non veg
degree,temple square,paneer roll,45,veg
degree,temple square,red velvet cup cake,35,cake
degree,temple square,chocolate cupcake,35,cake
degree,temple square,black forest pastry,60,cake
degree,temple square,red velvet pastry,70,cake
degree,temple square,butter scotch pastry,60,cake
degree,temple square,chocolate caramel pastry,60,cake
degree,temple square,oreo pastry,60,cake
degree,temple square,lava cake,55,cake
degree,temple square,walnet brownie,45,cake
degree,temple square,chocolate pudding,50,cake
degree,temple square,sweet corn roll,35,veg
degree,temple square,chicken kabab,60,veg
degree,temple square,veg sandwich,80,veg
degree,temple square,junnu,35,veg
degree,temple square,coke,20,drinks
degree,temple square,fanta,20,drinks
degree,temple square,thumbsup,20,drinks
degree,temple square,artos sweet,15,drinks
degree,temple square,artos salt,15,drinks
degree,temple square,limca,20,drinks
degree,temple square,minute maid,20,drinks
degree,temple square,chicken pizza,60,non veg
degree,temple square,aloo grilled sandwich,45,veg
degree,temple square,pizza sandwich,45,veg
degree,temple square,cheese garlic sandwich,45,veg
degree,temple square,paneer sandwich,50,veg
degree,temple square,bbq chicken sandwich,70,non veg
degree,temple square,chicken periperi sandwich,70,non veg
degree,temple square,zinger chicken sandwich,70,non veg
degree,temple square,tandoori chicken sandwich,70,non veg
degree,temple square,veg burger,60,veg
degree,temple square,chicken burger,80,non veg
degree,temple square,strawberry shake,50,shakes
degree,temple square,butterscotch shake,50,shakes
degree,temple square,vanila oreo,60,shakes
degree,temple square,chocolate milkshake,60,shakes
degree,panipuri stall,panipuri,20,veg
degree,panipuri stall,dahi puri,30,veg
degree,panipuri stall,masala puri,30,veg
degree,panipuri stall,chat,30,veg
degree,panipuri stall,mixture,35,veg
degree,panipuri stall,mirapakay bajji,30,veg
degree,panipuri stall,artikay bajji,30,veg
degree,panipuri stall,bajji mixture,35,veg
degree,juice centre,bananna,40,juice
degree,juice centre,kharbuja,30,juice
degree,juice centre,apple,45,juice
degree,juice centre,promogranate,45,juice
degree,juice centre,carrot,30,juice
degree,juice centre,orange,30,juice
degree,juice centre,pineapple,30,juice
degree,juice centre,grape,30,juice
degree,juice centre,pappaya,30,juice
degree,juice centre,watermelon,30,juice
degree,juice centre,sappota,30,juice
degree,juice centre,fruit salad,40,juice
degree,softy icecream,vanila softy,30,icecreams
degree,softy icecream,chocolate softy,30,icecreams
degree,softy icecream,mixed softy,30,icecreams
degree,softy icecream,vanila scoop,30,icecreams
degree,softy icecream,chocolate scoop,30,icecreams
degree,softy icecream,butterscotch scoop,30,icecreams
degree,softy icecream,pista scoop,30,icecreams
degree,softy icecream,strawberry scoop,30,icecreams
degree,softy icecream,americandry scoop,30,icecreams
